M,T,K,epsilon,result
50,0.5,2,0.65,0.0
50,0.5,2,0.75,0.0
50,0.55,2,0.65,0.01
50,0.55,2,0.75,0.0
50,0.6,2,0.65,0.03
50,0.6,2,0.75,0.0
50,0.65,2,0.65,0.08
50,0.65,2,0.75,0.0
50,0.7,2,0.75,0.05
50,0.75,2,0.75,0.04
100,0.5,2,0.65,0.0
100,0.5,2,0.75,0.0
100,0.55,2,0.65,0.01
100,0.55,2,0.75,0.0
100,0.6,2,0.65,0.02
100,0.6,2,0.75,0.0
100,0.65,2,0.65,0.06
100,0.65,2,0.75,0.0
100,0.7,2,0.75,0.01
100,0.75,2,0.75,0.071
200,0.5,2,0.65,0.0
200,0.5,2,0.75,0.0
200,0.55,2,0.65,0.0
200,0.55,2,0.75,0.0
200,0.6,2,0.65,0.0
200,0.6,2,0.75,0.0
200,0.65,2,0.65,0.031
200,0.65,2,0.75,0.0
200,0.7,2,0.75,0.0
200,0.75,2,0.75,0.059
250,0.5,2,0.65,0.0
250,0.5,2,0.75,0.0
250,0.55,2,0.65,0.0
250,0.55,2,0.75,0.0
250,0.6,2,0.65,0.01
250,0.6,2,0.75,0.0
250,0.65,2,0.65,0.08
250,0.65,2,0.75,0.0
250,0.7,2,0.75,0.0
250,0.75,2,0.75,0.07
300,0.5,2,0.65,0.0
300,0.5,2,0.75,0.0
300,0.55,2,0.65,0.0
300,0.55,2,0.75,0.0
300,0.6,2,0.65,0.0
300,0.6,2,0.75,0.0
300,0.65,2,0.65,0.02
300,0.65,2,0.75,0.0
300,0.7,2,0.75,0.0
300,0.75,2,0.75,0.06
350,0.5,2,0.65,0.0
350,0.5,2,0.75,0.0
350,0.55,2,0.65,0.0
350,0.55,2,0.75,0.0
350,0.6,2,0.65,0.0
350,0.6,2,0.75,0.0
350,0.65,2,0.65,0.06
350,0.65,2,0.75,0.0
350,0.7,2,0.75,0.0
350,0.75,2,0.75,0.05
400,0.5,2,0.65,0.0
400,0.5,2,0.75,0.0
400,0.55,2,0.65,0.0
400,0.55,2,0.75,0.0
400,0.6,2,0.65,0.01
400,0.6,2,0.75,0.0
400,0.65,2,0.65,0.059
400,0.65,2,0.75,0.0
400,0.7,2,0.75,0.0
400,0.75,2,0.75,0.061
450,0.5,2,0.65,0.0
450,0.5,2,0.75,0.0
450,0.55,2,0.65,0.0
450,0.55,2,0.75,0.0
450,0.6,2,0.65,0.0
450,0.6,2,0.75,0.0
450,0.65,2,0.65,0.03
450,0.65,2,0.75,0.0
450,0.7,2,0.75,0.0
450,0.75,2,0.75,0.051
500,0.5,2,0.65,0.0
500,0.5,2,0.75,0.0
500,0.55,2,0.65,0.0
500,0.55,2,0.75,0.0
500,0.6,2,0.65,0.0
500,0.6,2,0.75,0.0
500,0.65,2,0.65,0.059
500,0.65,2,0.75,0.0
500,0.7,2,0.75,0.0
500,0.75,2,0.75,0.052
1000,0.5,2,0.65,0.0
1000,0.5,2,0.75,0.0
1000,0.55,2,0.65,0.0
1000,0.55,2,0.75,0.0
1000,0.6,2,0.65,0.0
1000,0.6,2,0.75,0.0
1000,0.65,2,0.65,0.04
1000,0.65,2,0.75,0.0
1000,0.7,2,0.75,0.0
1000,0.75,2,0.75,0.05
